LOCATION,MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
New Delhi,2018,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"21,169 km",Diesel,1st Owner,"₹8,88,999"
New Delhi,2019,Hyundai,VENUE 1.0 TURBO GDI SX+ AT,Automatic,"7,676 km",Petrol,1st Owner,"₹9,95,499"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"40,458 km",Diesel,1st Owner,"₹7,79,299"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"82,601 km",Diesel,1st Owner,"₹6,36,299"
New Delhi,2018,Hyundai,Creta 1.6 E + VTVT,Manual,"39,294 km",Petrol,2nd Owner,"₹8,98,799"
New Delhi,2017,Toyota,Innova Crysta Touring Sport Diesel AT,Automatic,"85,295 km",Diesel,1st Owner,"₹14,99,499"
New Delhi,2016,Maruti,Vitara Brezza ZDI,Manual,"92,569 km",Diesel,1st Owner,"₹6,69,099"
New Delhi,2018,Maruti,Vitara Brezza VDI OPT,Manual,"60,395 km",Diesel,1st Owner,"₹6,83,399"
New Delhi,2019,Maruti,Vitara Brezza VDI,Manual,"28,137 km",Diesel,1st Owner,"₹7,92,999"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"20,245 km",Diesel,1st Owner,"₹7,69,899"
New Delhi,2018,Maruti,Vitara Brezza ZDI + AMT,Automatic,"28,144 km",Diesel,1st Owner,"₹9,13,699"
New Delhi,2015,Hyundai,Creta 1.6 S,Manual,"22,587 km",Petrol,1st Owner,"₹8,02,599"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"62,254 km",Diesel,1st Owner,"₹5,34,299"
New Delhi,2018,Maruti,Vitara Brezza ZDI AMT,Automatic,"43,568 km",Diesel,2nd Owner,"₹7,76,099"
New Delhi,2018,Maruti,Eeco 7 STR,Manual,"18,876 km",Petrol,2nd Owner,"₹3,40,699"
New Delhi,2017,Maruti,Vitara Brezza VDI OPT,Manual,"83,741 km",Diesel,1st Owner,"₹7,00,299"
New Delhi,2016,Maruti,Vitara Brezza ZDI,Manual,"1,05,991 km",Diesel,1st Owner,"₹6,33,799"
New Delhi,2016,Mahindra,Scorpio S10,Manual,"61,012 km",Diesel,1st Owner,"₹9,92,899"
New Delhi,2018,Maruti,Eeco 7 STR,Manual,"72,019 km",Petrol,1st Owner,"₹3,29,399"
New Delhi,2019,Maruti,Vitara Brezza VDI,Manual,"31,245 km",Diesel,1st Owner,"₹7,89,499"
New Delhi,2020,Hyundai,Verna S PETROL MT,Manual,"19,158 km",Petrol,1st Owner,"₹8,87,099"
New Delhi,2017,Volkswagen,Ameo TRENDLINE 1.2,Manual,"40,293 km",Petrol,2nd Owner,"₹5,17,799"
New Delhi,2017,Maruti,Ciaz VXI,Manual,"55,212 km",Petrol,1st Owner,"₹5,83,799"
New Delhi,2017,Skoda,Rapid 1.5 TDI AT STYLE PLUS,Automatic,"1,38,467 km",Diesel,1st Owner,"₹5,99,099"
New Delhi,2013,Honda,Amaze 1.5 SMT I DTEC,Manual,"93,447 km",Diesel,1st Owner,"₹2,54,399"
New Delhi,2020,Honda,City ZX CVT,Automatic,"10,322 km",Petrol,1st Owner,"₹12,71,199"
New Delhi,2015,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"61,732 km",Petrol,1st Owner,"₹4,76,699"
New Delhi,2017,Ford,Figo Aspire 1.2 TITANIUM PETROL,Manual,"41,186 km",Petrol,1st Owner,"₹4,60,199"
New Delhi,2017,Maruti,Swift Dzire LDI BS IV,Manual,"51,316 km",Diesel,2nd Owner,"₹5,11,099"
New Delhi,2013,Hyundai,Verna FLUIDIC 1.6 SX CRDI OPT,Manual,"53,517 km",Diesel,1st Owner,"₹4,82,299"
New Delhi,2019,Maruti,Ciaz DELTA 1.5 SHVS VVT MT,Manual,"7,620 km",Petrol,2nd Owner,"₹8,25,399"
New Delhi,2020,Honda,Amaze 1.2 V MT I-VTEC,Manual,"13,903 km",Petrol,1st Owner,"₹6,91,599"
New Delhi,2016,Honda,Amaze 1.2 SMT I VTEC,Manual,"66,399 km",Petrol + CNG,2nd Owner,"₹4,82,099"
New Delhi,2014,Maruti,Ciaz VDI PLUS,Manual,"62,366 km",Diesel,1st Owner,"₹5,25,199"
New Delhi,2013,Maruti,Swift Dzire LDI BS IV,Manual,"49,944 km",Diesel,2nd Owner,"₹3,54,299"
New Delhi,2015,Maruti,Swift Dzire VDI ABS,Manual,"72,380 km",Diesel,1st Owner,"₹4,80,099"
New Delhi,2012,Maruti,Swift Dzire VDI BS IV,Manual,"54,918 km",Diesel,1st Owner,"₹4,55,499"
New Delhi,2019,Maruti,Dzire VDI,Manual,"26,352 km",Diesel,1st Owner,"₹6,29,899"
New Delhi,2016,Maruti,Ciaz VXI OPT,Manual,"76,459 km",Petrol,2nd Owner,"₹5,47,499"
New Delhi,2012,Maruti,Swift Dzire ZDI,Manual,"52,479 km",Diesel,1st Owner,"₹3,79,299"
New Delhi,2017,Maruti,Swift VXI,Manual,"25,626 km",Petrol,1st Owner,"₹5,38,699"
New Delhi,2017,Maruti,Swift VDI ABS,Manual,"69,894 km",Diesel,1st Owner,"₹4,74,699"
New Delhi,2015,Maruti,Swift VDI ABS,Manual,"76,264 km",Diesel,1st Owner,"₹4,55,299"
New Delhi,2011,Hyundai,i20 MAGNA O 1.2,Manual,"44,007 km",Petrol,1st Owner,"₹2,58,999"
New Delhi,2017,Hyundai,Elite i20 SPORTZ 1.2,Manual,"64,918 km",Petrol,1st Owner,"₹5,03,999"
New Delhi,2018,Volkswagen,Polo COMFORTLINE 1.0 PETROL,Manual,"23,826 km",Petrol,1st Owner,"₹5,27,699"
New Delhi,2018,Hyundai,Elite i20 SPORTZ 1.2,Manual,"48,582 km",Petrol,1st Owner,"₹5,90,199"
New Delhi,2020,Maruti,Baleno DELTA 1.2 K12,Manual,"11,679 km",Petrol,1st Owner,"₹6,63,599"
New Delhi,2018,Maruti,Baleno ZETA 1.2 K12,Manual,"37,284 km",Petrol,1st Owner,"₹6,09,999"
New Delhi,2017,Maruti,Celerio ZXI AMT,Automatic,"38,235 km",Petrol,1st Owner,"₹4,10,499"
New Delhi,2017,Maruti,Wagon R 1.0 VXI,Manual,"4,956 km",Petrol,1st Owner,"₹3,89,199"
New Delhi,2017,Maruti,Baleno DELTA 1.2 K12,Manual,"20,990 km",Petrol,1st Owner,"₹6,05,699"
New Delhi,2015,Maruti,Swift VDI ABS,Manual,"1,64,520 km",Diesel,1st Owner,"₹3,82,699"
New Delhi,2017,Maruti,Alto 800 LXI,Manual,"2,335 km",Petrol,1st Owner,"₹3,11,999"
New Delhi,2017,Ford,New Figo 1.5 TITANIUM,Manual,"41,678 km",Diesel,2nd Owner,"₹4,82,699"
New Delhi,2014,Maruti,Swift VDI,Manual,"1,07,030 km",Diesel,1st Owner,"₹4,21,699"
New Delhi,2016,Maruti,Baleno SIGMA 1.2 K12,Manual,"57,595 km",Petrol,2nd Owner,"₹4,01,199"
New Delhi,2019,Maruti,Swift VXI,Manual,"31,304 km",Petrol,1st Owner,"₹5,25,499"
New Delhi,2016,Hyundai,Elite i20 1.4 CRDI ASTA (O),Manual,"78,560 km",Diesel,1st Owner,"₹5,15,500"
New Delhi,2012,Maruti,Swift VDI,Manual,"31,084 km",Diesel,1st Owner,"₹3,14,499"
New Delhi,2015,BMW,3 Series 320D,Automatic,"33,958 km",Diesel,2nd Owner,"₹18,42,699"
New Delhi,2016,Mercedes,Benz E Class E200 CGI EDITION E,Manual,"19,041 km",Petrol,2nd Owner,"₹23,22,099"
New Delhi,2014,Ssangyong,Rexton RX 6,Manual,"45,187 km",Diesel,2nd Owner,"₹6,48,399"
New Delhi,2015,Audi,Q3 35 TDI Quattro,Automatic,"67,720 km",Diesel,3rd Owner,"₹15,60,499"
New Delhi,2020,Hyundai,Verna S PETROL MT,Manual,"19,158 km",Petrol,1st Owner,"₹8,87,099"
New Delhi,2017,Volkswagen,Ameo TRENDLINE 1.2,Manual,"40,293 km",Petrol,2nd Owner,"₹5,17,799"
New Delhi,2017,Maruti,Ciaz VXI,Manual,"55,212 km",Petrol,1st Owner,"₹5,83,799"
New Delhi,2017,Skoda,Rapid 1.5 TDI AT STYLE PLUS,Automatic,"1,38,467 km",Diesel,1st Owner,"₹5,99,099"
